7/13/2015,723,14399,7.02,67,132,51
7/14/2015,400,7821,3.7,39,197,27
7/15/2015,85,1851,0.86,6,45,6
7/16/2015,221,3753,1.72,17,69,12
7/17/2015,424,6711,3.21,35,284,23
7/18/2015,435,7990,3.89,38,22,28
7/19/2015,406,8856,4.23,39,190,31
7/20/2015,793,14782,6.61,66,621,48
7/21/2015,642,11054,5.18,48,83,37
7/22/2015,594,11608,5.4,51,32,39
7/23/2015,555,10957,4.91,46,248,35
7/24/2015,372,7799,3.2,34,33,23
7/25/2015,194,4081,1.67,19,22,12
7/26/2015,395,6808,3.01,32,39,22
7/27/2015,121,2521,1.13,10,28,8
7/28/2015,168,3186,1.54,17,40,11
7/29/2015,97,1788,0.78,10,68,6
7/30/2015,456,10104,4.8,47,373,35
7/31/2015,423,9274,4.23,45,20,31
8/1/2015,369,5876,2.76,30,88,20
8/2/2015,588,13293,5.55,56,247,40
8/3/2015,736,12817,5.53,58,381,40
8/4/2015,206,4549,2.17,18,109,16
8/5/2015,485,11419,5.05,52,86,37
8/6/2015,531,9597,4.62,49,213,33
8/7/2015,192,3287,1.42,14,136,10
8/8/2015,730,13367,5.49,55,631,40
8/9/2015,599,12055,5.25,49,358,38
8/10/2015,543,10771,4.68,49,23,34
8/11/2015,777,15027,6.59,65,197,48
8/12/2015,625,10898,5.04,53,278,36
8/13/2015,784,13001,6.22,59,166,45
8/14/2015,927,18282,8.66,88,606,63
8/15/2015,415,9711,4.11,42,135,30
8/16/2015,551,10194,4.79,45,144,35
8/17/2015,204,4431,2.13,23,56,15
8/18/2015,694,15908,7.3,76,302,53
8/19/2015,616,13245,5.92,61,77,43
8/20/2015,717,13832,5.74,54,366,41
8/21/2015,739,13661,5.6,56,643,40
8/22/2015,1104,18077,8.76,90,381,63
8/23/2015,897,18547,8.79,84,567,64
8/24/2015,137,2553,1.23,9,90,9
8/25/2015,299,4628,2.25,22,80,16
8/26/2015,358,8053,3.61,34,51,26
8/27/2015,477,8957,4.34,43,91,31
8/28/2015,655,13161,6.42,63,251,46
8/29/2015,153,2450,1.14,10,91,8
8/30/2015,289,6593,3.04,27,180,22
8/31/2015,250,5002,2.32,25,92,17
9/1/2015,700,13028,5.42,52,475,39
9/2/2015,640,11857,5.52,52,189,40
9/3/2015,107,2145,0.97,7,58,7
9/4/2015,137,2734,1.21,13,79,9
9/5/2015,284,5678,2.38,26,122,17
9/6/2015,993,16623,7.46,76,37,54
9/7/2015,597,11482,5.01,47,355,36
9/8/2015,194,3199,1.56,18,75,11
9/9/2015,435,9047,3.92,42,330,28
9/10/2015,110,2065,0.87,8,80,6
9/11/2015,172,3332,1.58,15,35,11
9/12/2015,517,11688,5.22,49,21,38
9/13/2015,406,7222,3.41,33,294,25
9/14/2015,415,8442,3.81,41,241,28
9/15/2015,620,10199,4.77,44,365,34
